window,n_posts,neg_share,sent_mean,acc_mean,acc_var,acc_skew,amp_neg_ratio,infl_neg_ratio,user_gini_neg,topic_entropy_neg,topic_conc_risk,neg_momentum,acc_momentum,neg_persistence_tail
2026-02-09,4,0.75,0.0,-0.5,0.75,1.1547005383792517,0.8793424014091399,1.0,0.0,0.0,1.0,0.0,0.0,2
2026-02-16,168,0.7559523809523809,0.1666666666666666,-0.4880952380952381,0.5792233560090704,1.1266819698032289,0.6962070629250907,0.7170489407303224,0.1759302146055272,0.8323499831730405,0.1676500168269594,0.0,0.0,2
2026-02-15 00:00:00,4,0.75,0.0,-0.5,0.75,1.1547005383792517,0.8848201774871556,1.0,0.0,0.0,1.0,0.0397222222222221,-0.0530886243386242,7
2026-02-16 00:00:00,18,0.7222222222222222,0.1111111111111111,-0.5370370370370371,0.6066529492455419,1.2248931725249252,0.6865869164698861,0.8341918603751936,0.0705128205128205,0.8284915254038179,0.1715084745961821,0.0397222222222221,-0.0530886243386242,7
2026-02-17 00:00:00,75,0.6933333333333334,0.2133333333333333,-0.3977777777777778,0.6362172839506168,0.8772645964189574,0.8806975098299381,0.6242525073333723,0.1502683363148479,0.8415695904433602,0.1584304095566397,0.0397222222222221,-0.0530886243386242,7
2026-02-18 00:00:00,34,0.8529411764705882,0.0,-0.5784313725490197,0.4579008073817764,1.4496583356529755,0.9925803233274249,0.835258450366351,0.0915119363395225,0.9079727258200784,0.0920272741799217,0.0397222222222221,-0.0530886243386242,7
2026-02-19 00:00:00,28,0.75,0.2857142857142857,-0.5,0.5833333333333334,1.193518256800938,0.9193102891293814,0.7489806560324425,0.0852130325814537,0.9067569634005248,0.093243036599475,0.0397222222222221,-0.0530886243386242,7
2026-02-20 00:00:00,8,0.875,0.0,-0.4791666666666666,0.5655381944444444,1.0203997031698562,0.9709007845863542,0.8681592860001537,0.0,0.9755037590061084,0.0244962409938915,0.0397222222222221,-0.0530886243386242,7
2026-02-21 00:00:00,5,1.0,0.4,-1.0,0.0,,1.0,1.0,0.0,0.9609640474436812,0.0390359525563187,0.0397222222222221,-0.0530886243386242,7
2026-02-15 00:00:00,4,0.75,0.0,-0.5,0.75,1.1547005383792515,0.8848201774871556,1.0,0.0,0.0,1.0,0.03972222222222218,-0.05308862433862424,7
2026-02-16 00:00:00,18,0.7222222222222222,0.1111111111111111,-0.5370370370370371,0.6066529492455419,1.2248931725249252,0.6865869164698861,0.8341918603751936,0.07051282051282055,0.8284915254038179,0.17150847459618213,0.03972222222222218,-0.05308862433862424,7
2026-02-17 00:00:00,75,0.6933333333333334,0.21333333333333335,-0.3977777777777778,0.6362172839506168,0.8772645964189574,0.8806975098299381,0.6242525073333723,0.1502683363148479,0.8415695904433602,0.15843040955663978,0.03972222222222218,-0.05308862433862424,7
2026-02-18 00:00:00,34,0.8529411764705882,0.0,-0.5784313725490197,0.4579008073817764,1.4496583356529757,0.9925803233274247,0.835258450366351,0.09151193633952258,0.9079727258200783,0.09202727417992174,0.03972222222222218,-0.05308862433862424,7
2026-02-19 00:00:00,28,0.75,0.2857142857142857,-0.5,0.5833333333333334,1.193518256800938,0.9193102891293814,0.7489806560324425,0.0852130325814537,0.9067569634005249,0.09324303659947508,0.03972222222222218,-0.05308862433862424,7
2026-02-20 00:00:00,8,0.875,0.0,-0.47916666666666663,0.5655381944444444,1.0203997031698562,0.9709007845863542,0.8681592860001537,0.0,0.9755037590061084,0.024496240993891583,0.03972222222222218,-0.05308862433862424,7
2026-02-21 00:00:00,5,1.0,0.4,-1.0,0.0,,1.0,1.0,0.0,0.9609640474436812,0.039035952556318754,0.03972222222222218,-0.05308862433862424,7
